full_name	affiliation
Alexandra Cirone	
Alexandra Lawrence Scacco	
Annika Fredén	
Anselm Hager	
Benjamin G. Engst	
Daniel Naurin	
Debra Leiter	
Felipe Santos	
Florian Foos	
Jonathan Polk	
Kamil Marcinkiewicz	
Kelly Kadera	
Laron K Williams	
Laura Michelle Saavedra-Lux	
Moritz Marbach	
Sarah Wagner	
Spyros Kosmidis	
Stefanie Reher	
Tim Haughton	
Vera Eva Troeger	
Vicky Fouka	
Zeynep Somer-Topcu	
